movie_title,rating
Loser,1
All That Jazz,2
The Sting,2
Torque,3
Project X,1
The Odd Life of Timothy Green,2
Special,1
You Got Served,3
What to Expect When Youre Expecting,2
Meet the Parents,1
Cars,2
The Adventures of Huck Finn,1
The Switch,3
Say It Isnt So,1
A Simple Wish,3
Austin Powers: International Man of Mystery,1
Chicago,2
The Sweetest Thing,2
A Haunted House,2
Bad Company,3
Dance Flick,1
Malibus Most Wanted,1
The Chronicles of Narnia: Prince Caspian,1
Gabriela,1
About a Boy,2
The Country Bears,1
Dick,1
The O.C.            ,2
Everything Must Go,1
Joe Somebody,2
My Life in Ruins,1
George of the Jungle,1
New York Stories,3
Underdogs,2
Kung Pow: Enter the Fist,2
Chuck & Buck,3
Death Race 2000,1
Joe Dirt,1
Aquamarine,3
Four Lions,3
8 Women,2
Midnight in Paris,1
Mars Attacks!,2
While Were Young,1
Lisa Picard Is Famous,2
The Stewardesses,2
The Ice Pirates,1
Tango,2
The Road to El Dorado,3
Waitress,2
Legal Eagles,2
Alleluia! The Devils Carnival,3
Henry & Me,1
The Watcher,3
Psycho,5
Compliance,4
Nine Dead,5
Insidious,4
The Lazarus Effect,4
Trapped            ,5
The Green Hornet,5
White Noise 2: The Light,5
The Lost Boys,5
Dont Say a Word,5
Trust,5
Punisher: War Zone,3
Mystic River,4
Blackhat,5
Dawn of the Dead,4
Righteous Kill,5
Lady in the Water,5
Transsiberian,5
Machine Gun McCain,5
Murder by Numbers,5
The Usual Suspects,4
The Way of the Gun,5
Source Code,5
All About the Benjamins,5
Forget Me Not,4
Exorcist: The Beginning,4
The Replacement Killers,5
The Salton Sea,5
Daredevil            ,5
District B13,5
Hostel,4
Sweet Sweetbacks Baadasssss Song,3
The Collection,5
The Reaping,5
Godzilla Resurgence,4
Stung,4
Teeth and Blood,5
Sin City,4
Scream 4,5
Detention of the Dead,5
Silent Hill,4
88 Minutes,5
The Way of the Gun,5
The Horror Network Vol. 1,5
Max Payne,5
A Nightmare on Elm Street 4: The Dream Master,5
Resident Evil,4
The Specialist,5
Wolf Creek            ,5
Contraband,5
Safe House,5
Heist,5
Romeo Must Die,5
Unnatural,4
Transcendence,4
Raymond Did It,4
No Mans Land: The Rise of Reeker,4
The Devils Tomb,5
